0,1,2,3,,5,6,,8,9,10,11,12,,14
688424,hauistaan,hauistaan,[k-deletion - updated],,ha.uis.taan,,,hau.is.taan,ha.uis.taan,,,x,,
214723,maun,maun,[k-deletion],,maun,,,maun,ma.un,,,,,
977405,tausta,tausta,[k-deletion],,taus.ta,,,taus.ta,ta.us.ta,,,,,
151233,taustaa,taustaa,[k-deletion - updated],,taus.taa,,,ta.us.taa,taus.taa,,,x,,
745984,taustalla,taustalla,[k-deletion - updated],,taus.tal.la,,,ta.us.tal.la,taus.tal.la,,,x,,
645449,taustana,taustana,[k-deletion - updated],,taus.ta.na,,,ta.us.ta.na,taus.ta.na,,,x,,
554349,näyt,näyt,[k-deletion - updated],,näyt,,,nä.yt,näyt,,,x,,
427748,nurmen=taus,nurmen=taus,[k-deletion],,nur.men.taus,,,nur.men.taus,nur.men.ta.us,,,,,
304702,joissakin,joissakin,[k-deletion - updated],,jois.sa.kin,,,jo.is.sa.kin,jois.sa.kin,,,x,,
267429,luin,luin,[k-deletion],,luin,,,luin,lu.in,,,,,
317660,vuoissa,vuoissa,[k-deletion],,vu.ois.sa,,,vuo.is.sa,,,,,,
502060,avaus=erässä,avaus=erässä,[T4 variation - updated],,a.va.us.e.räs.sä,a.vaus.e.räs.sä,,a.vaus.e.räs.sä,a.va.us.e.räs.sä,,,x,,missing T4 variation
295646,olympia=karsinta=turnauksessa,olympia=karsinta=turnauksessa,[T4 variation - updated],,o.lym.pi.a.kar.sin.ta.tur.na.uk.ses.sa,o.lym.pi.a.kar.sin.ta.tur.nauk.ses.sa,,o.lym.pi.a.kar.sin.ta.tur.nauk.ses.sa,o.lym.pi.a.kar.sin.ta.tur.na.uk.ses.sa,,,x,,
550152,tappion=takauksen,tappion=takauksen,[T4 variation - updated],,tap.pi.on.ta.ka.uk.sen,tap.pi.on.ta.kauk.sen,,tap.pi.on.ta.ka.uk.sen,tap.pi.on.ta.kauk.sen,,,x,,
607571,oikeus=asia=miehelle,oikeus=asia=miehelle,[T4 variation - updated],,oi.ke.us.a.si.a.mie.hel.le,oi.keus.a.si.a.mie.hel.le,,oi.keus.a.si.a.mie.hel.le,oi.ke.us.a.si.a.mie.hel.le,,,x,,
521408,oikeus=asia=mies,oikeus=asia=mies,[T4 variation - updated],,oi.ke.us.a.si.a.mies,oi.keus.a.si.a.mies,,oi.keus.a.si.a.mies,oi.ke.us.a.si.a.mies,,,x,,
949144,maa=talous,maa=talous,[T4 variation - updated],,maa.ta.lo.us,maa.ta.lous,,maa.ta.lous,maa.ta.lo.us,,,x,,
378154,maa=talous=ministeriksi,maa=talous=ministeriksi,[T4 variation - updated],,maa.ta.lo.us.mi.nis.te.rik.si,maa.ta.lous.mi.nis.te.rik.si,,maa.ta.lous.mi.nis.te.rik.si,maa.ta.lo.us.mi.nis.te.rik.si,,,x,,
4780,talous=arvio,talous=arvio,[T4 variation - updated],,ta.lo.us.ar.vi.o,ta.lous.ar.vi.o,,ta.lous.ar.vi.o,ta.lo.us.ar.vi.o,,,x,,
616717,talous=arvion,talous=arvion,[T4 variation - updated],,ta.lo.us.ar.vi.on,ta.lous.ar.vi.on,,ta.lous.ar.vi.on,ta.lo.us.ar.vi.on,,,x,,
228426,talous=arviossa,talous=arviossa,[T4 variation - updated],,ta.lo.us.ar.vi.os.sa,ta.lous.ar.vi.os.sa,,ta.lous.ar.vi.os.sa,ta.lo.us.ar.vi.os.sa,,,x,,
21066,talous=avustaja,talous=avustaja,[T4 variation - updated],,ta.lo.us.a.vus.ta.ja,ta.lous.a.vus.ta.ja,,ta.lous.a.vus.ta.ja,ta.lo.us.a.vus.ta.ja,,,x,,
511979,talous=elämä,talous=elämä,[T4 variation - updated],,ta.lo.us.e.lä.mä,ta.lous.e.lä.mä,,ta.lous.e.lä.mä,ta.lo.us.e.lä.mä,,,x,,
39884,talous=elämälle,talous=elämälle,[T4 variation - updated],,ta.lo.us.e.lä.mäl.le,ta.lous.e.lä.mäl.le,,ta.lous.e.lä.mäl.le,ta.lo.us.e.lä.mäl.le,,,x,,
462272,talous=ennusteensa,talous=ennusteensa,[T4 variation - updated],,ta.lo.us.en.nus.teen.sa,ta.lous.en.nus.teen.sa,,ta.lous.en.nus.teen.sa,ta.lo.us.en.nus.teen.sa,,,x,,
652006,ongelma=risteys,ongelma=risteys,[T4 variation - updated],,on.gel.ma.ris.te.ys,on.gel.ma.ris.teys,,on.gel.ma.ris.teys,on.gel.ma.ris.te.ys,,,x,,
668305,terveys=asemaan,terveys=asemaan,[T4 variation - updated],,ter.ve.ys.a.se.maan,ter.veys.a.se.maan,,ter.veys.a.se.maan,ter.ve.ys.a.se.maan,,,x,,
644215,työ=terveys=laitoksen,työ=terveys=laitoksen,[T4 variation - updated],,työ.ter.ve.ys.lai.tok.sen,työ.ter.veys.lai.tok.sen,,työ.ter.veys.lai.tok.sen,työ.ter.ve.ys.lai.tok.sen,,,x,,
302797,englannin=kielisten,englannin=kielisten,,,eng.lan.nin.kie.lis.ten,,,eng.lan.nin.kie.lis.ten,,,,x,,rising diphthongs
56644,valta=tien,valta=tien,,,val.ta.tien,,,val.ta.tien,,,,x,,
925798,koti=talouksien,koti=talouksien,,,ko.ti.ta.lo.uk.si.en,ko.ti.ta.louk.si.en,,ko.ti.ta.lo.uk.si.en,,,,x,,
678935,kenties,kenties,ken=ties,,ken.ti.es,,,ken.ties,,,,,,
29431,piano,piano,[case stem],,pi.a.no,,,pi.a.no,pia.no,,,,,word-inital joining
555592,piakkoin,piakkoin,[case stem],,pi.ak.koin,,,pi.ak.koin,piak.koin,,,,,
206552,pian,pian,[case stem],,pi.an,,,pi.an,pian,,,,,
94510,niäminen,niäminen,[colloquial] dialectal (spelling post-lexical pronunciation),,ni.ä.mi.nen,,,niä.mi.nen,,,,,,
88074,tiäräks,tiäräks,[colloquial] dialectal (spelling post-lexical pronunciation),,ti.ä.räks,,,tiä.räks,,,,,,
201859,yäk,yäk,[colloquial],,y.äk,,,yäk,,,,,,
