  freq  orth                                     rules                   test                                            correct             gold    compound
------  ---------------------------------------  ----------------------  ----------------------------------------------  ------------------  ------  ----------
    62  Vattenfall                               T1                      vat.ten.fall                                    vat.ten.fall        T
    59  Vietnam                                  T1                      viet.nam                                        viet.nam            T
    58  Holding                                  T1                      hol.ding                                        hol.ding            T
    57  Runeberg                                 T1                      ru.ne.berg                                      ru.ne.berg          T
    54  Sharif                                   T1                      sha.rif                                         sha.rif             T
    54  Top                                      T0                      top                                             top                 T
    52  Shell                                    T0                      shell                                           shell               T
    50  Holm                                     T0                      holm                                            holm                T
    47  Magic                                    T1                      ma.gic                                          ma.gic              T
    45  Lundström                                T1                      lundst.röm                                      lundst.röm +        T       C
    45  Abraham                                  T1                      ab.ra.ham                                       ab.ra.ham           T
    44  Mandatum                                 T1                      man.da.tum                                      man.da.tum          T
    44  Blom                                     T0                      blom                                            blom                T
    42  Uhlbäck                                  T1                      uhl.bäck                                        uhl.bäck            T
    38  Research                                 T1 T2                   re.se.arch                                      re.se.arch          T
    36  Schiff                                   T0                      schiff                                          schiff              T
    35  Eichel                                   T1                      eic.hel                                         eic.hel             T
    31  Christoph                                T1                      chris.toph                                      chris.toph          T
    31  Marx                                     T0                      marx                                            marx                T
    30  Bunch                                    T0                      bunch                                           bunch               T
    30  Europol                                  T1                      eu.ro.pol                                       eu.ro.pol           T
    27  Bangkok                                  T1                      bang.kok                                        bang.kok            T
    27  Camp                                     T0                      camp                                            camp                T
    24  Ask                                      T0                      ask                                             ask                 T
    20  Newsweek                                 T1                      news.week                                       news.week           T
    19  Phillip                                  T1                      phil.lip                                        phil.lip            T
    18  Liv                                      T0                      liv                                             liv                 T
    17  Deborah                                  T1                      de.bo.rah                                       de.bo.rah           T
    17  Westermarck                              T1                      wes.ter.marck                                   wes.ter.marck       T
    15  Week                                     T0                      week                                            week                T
    11  Kark                                     T0                      kark                                            kark                T
    10  Parisel                                  T1                      pa.ri.sel                                       pa.ri.sel           T
     9  Österberg                                T1                      ös.ter.berg                                     ös.ter.berg         T
     9  Gunnel                                   T1                      gun.nel                                         gun.nel             T
     8  Remahl                                   T1                      re.mahl                                         re.mahl             T
     8  Ahlbom                                   T1                      ahl.bom                                         ahl.bom             T
     8  help                                     T0                      help                                            help                T
     7  Taxell                                   T1                      ta.xell                                         ta.xell             T
     6  holding                                  T1                      hol.ding                                        hol.ding            T
     6  Skiftesvik                               T1                      skif.tes.vik                                    skif.tes.vik        T
     6  Kendall                                  T1                      ken.dall                                        ken.dall            T
     6  Sunil                                    T1                      su.nil                                          su.nil              T
     6  Ix                                       T0                      ix                                              ix                  T
     5  crack                                    T0                      crack                                           crack               T
     5  Laurel                                   T1                      lau.rel                                         lau.rel             T
     5  Katanandov                               T1                      ka.ta.nan.dov                                   ka.ta.nan.dov       T
     4  Hernberg                                 T1                      hern.berg                                       hern.berg           T
     4  Steinberg                                T1                      stein.berg                                      stein.berg          T
     4  Lillrank                                 T1                      lill.rank                                       lill.rank           T
     4  Amtrak                                   T1                      amt.rak                                         amt.rak             T
     4  Bruel                                    T2                      bru.el                                          bru.el              T
     4  Eurocontrol                              T1                      eu.ro.cont.rol                                  eu.ro.cont.rol      T
     4  Svenska social                           T1 | T1 T2              svens.ka so.ci.al                               svens.ka so.ci.al   T
     4  Unifem                                   T1                      u.ni.fem                                        u.ni.fem            T
     4  Knip                                     T0                      knip                                            knip                T
     3  Frankberg                                T1                      frank.berg                                      frank.berg          T
     3  Camping                                  T1                      cam.ping                                        cam.ping            T
     3  Fredrick                                 T1                      fred.rick                                       fred.rick           T
     3  Citibank                                 T1                      ci.ti.bank                                      ci.ti.bank          T
     3  Samok                                    T1                      sa.mok                                          sa.mok              T
     3  Journalism                               T1                      jour.na.lism                                    jour.na.lism        T
     2  Benchmarking                             T1                      bench.mar.king                                  bench.mar.king      T
     2  According                                T1                      ac.cor.ding                                     ac.cor.ding         T
     2  Eirik                                    T1                      ei.rik                                          ei.rik              T
     2  Stenhäll                                 T1                      sten.häll                                       sten.häll           T
     1  Framfab                                  T1                      fram.fab                                        fram.fab            T
     1  leaf                                     T2                      le.af                                           le.af               T
     1  Deryng                                   T1                      de.ryng                                         de.ryng             T
     1  Cartonpack                               T1                      car.ton.pack                                    car.ton.pack        T
     1  Steinbeck                                T1                      stein.beck                                      stein.beck          T
     1  Stockwell                                T1                      stock.well                                      stock.well          T
     1  Belgium                                  T1 T4                   bel.gi.um                                       bel.gi.um           T
     1  Khaijam                                  T1                      khai.jam                                        khai.jam            T
     1  moratorium                               T1 T4                   mo.ra.to.ri.um                                  mo.ra.to.ri.um      T
     1  mäkicup                                  T1                      mä.ki.cup                                       mä.ki.cup           T
     1  Kolesov                                  T1                      ko.le.sov                                       ko.le.sov           T
     1  Wilcox                                   T1                      wil.cox                                         wil.cox             T
   775  York                                     T2                      y.ork                                           york                F
   114  Young                                    T7 T2                   y.o.ung                                         young               F
    82  Weckström                                T1                      weckst.röm                                      weck.ström          F       C
    48  Kallström                                T1                      kallst.röm                                      kall.ström          F       C
    28  Sjöblom                                  T1                      sjöb.lom                                        sjö.blom            F       C
    21  Bordeaux                                 T1 T7 T2                bor.de.a.ux                                     bor.de.aux          F
     6  Yäk                                      T2                      y.äk                                            yäk                 F
     2  bordeaux                                 T1 T7 T2                bor.de.a.ux                                     bor.de.aux          F
     1  Frantschach                              T1                      frantsc.hach                                    frant.schach        F       C
   403  Henrik                                   T1                      hen.rik
   361  Carl                                     T0                      carl
   358  Mark                                     T0                      mark
   358  Frank                                    T0                      frank
   352  askel                                    T1                      as.kel
   346  Arsenal                                  T1                      ar.se.nal
   285  Barak                                    T1                      ba.rak
   279  Lindström                                T1                      lindst.röm
   274  Mannerheim                               T1                      man.ner.heim
   257  Smith                                    T0                      smith
   255  Ulf                                      T0                      ulf
   254  Ivanov                                   T1                      i.va.nov
   246  Enestam                                  T1                      e.nes.tam
   245  Armstrong                                T1                      armst.rong
   243  Prix                                     T0                      prix
   240  Jim                                      T0                      jim
   238  Hill                                     T0                      hill
   231  Sjöberg                                  T1                      sjö.berg
   218  Club                                     T0                      club
   215  Emil                                     T1                      e.mil
   208  King                                     T0                      king
   207  Jack                                     T0                      jack
   205  Primakov                                 T1                      pri.ma.kov
   192  rock                                     T0                      rock
   191  Jan-Erik                                 T0 | T1                 jan-e.rik
   188  Jursinov                                 T1                      jur.si.nov
   187  Lindholm                                 T1                      lind.holm
   185  Keith                                    T0                      keith
   179  Joel                                     T2                      jo.el
   178  Irak                                     T1                      i.rak
   177  Attenberg                                T1                      at.ten.berg
   173  Mihail                                   T1                      mi.hail
   173  Neil                                     T0                      neil
   170  Wall                                     T0                      wall
   169  Phoenix                                  T1 T2                   pho.e.nix
   168  Gabriel                                  T1 T8                   gab.ri.el
   167  Patrik                                   T1                      pat.rik
   165  Karl                                     T0                      karl
   165  Luzhkov                                  T1                      luzh.kov
   164  Big                                      T0                      big
   162  Forssell                                 T1                      fors.sell
   161  cup                                      T0                      cup
   158  Tallberg                                 T1                      tall.berg
   158  Fortum                                   T1                      for.tum
   158  Jerusalem                                T1                      je.ru.sa.lem
   157  Chirac                                   T1                      chi.rac
   157  Montreal                                 T1 T2                   mont.re.al
   156  Music                                    T1                      mu.sic
   156  Frenckell                                T1                      frenc.kell
   153  Bush                                     T0                      bush
   153  Gustav                                   T1                      gus.tav
   152  Sam                                      T0                      sam
   150  Ralf                                     T0                      ralf
   149  Peking                                   T1                      pe.king
   148  Oleg                                     T1                      o.leg
   148  Klemm                                    T0                      klemm
   143  Marc                                     T0                      marc
   143  Bjurström                                T1                      bjurst.röm
   142  Pavel                                    T1                      pa.vel
   141  Cook                                     T0                      cook
   140  Josef                                    T1                      jo.sef
   140  Propix                                   T1                      pro.pix
   139  Bank                                     T0                      bank
   138  Saddam                                   T1                      sad.dam
   136  Etyj                                     T1                      e.tyj
   132  Auriol                                   T1 T2                   au.ri.ol
   131  Of                                       T0                      of
   131  Rafael                                   T1 T2                   ra.fa.el
   131  Grönholm                                 T1                      grön.holm
   130  Vik                                      T0                      vik
   129  Viking                                   T1                      vi.king
   129  Mirjam                                   T1                      mir.jam
   128  Saab                                     T0                      saab
   128  Adolf                                    T1                      a.dolf
   126  Nordic                                   T1                      nor.dic
   126  Lindberg                                 T1                      lind.berg
   126  Ehrnrooth                                T1                      ehrn.rooth
   125  Clark                                    T0                      clark
   123  Rudolf                                   T1                      ru.dolf
   123  Rask                                     T0                      rask
   122  Ahlström                                 T1                      ahlst.röm
   121  Ibrahim                                  T1                      ib.ra.him
   120  British                                  T1                      bri.tish
   119  Nordberg                                 T1                      nord.berg
   116  Kubrick                                  T1                      kub.rick
   115  Michel                                   T1                      mic.hel
   115  Adam                                     T1                      a.dam
   113  taival                                   T1                      tai.val
   112  Barkov                                   T1                      bar.kov
   110  Samuel                                   T1 T2                   sa.mu.el
   110  Team                                     T2                      te.am
   110  Philip                                   T1                      phi.lip
   110  Cup                                      T0                      cup
   109  ex                                       T0                      ex
   108  Wolfgang                                 T1                      wolf.gang
   107  Lundh                                    T0                      lundh
   107  Appel                                    T1                      ap.pel
   106  Dahlberg                                 T1                      dahl.berg
   105  Olof                                     T1                      o.lof
   105  milj                                     T0                      milj
   105  Asell                                    T1                      a.sell
   104  Palmroth                                 T1                      palm.roth
   102  Istanbul                                 T1                      is.tan.bul
   102  Graham                                   T1                      gra.ham
   101  Park                                     T0                      park
   100  Rock                                     T0                      rock
   100  Manuel                                   T1 T2                   ma.nu.el
   100  Anaheim                                  T1                      a.na.heim
    99  Jiang                                    T2                      ji.ang
    99  Royal                                    T7                      roy.al
    98  Bach                                     T0                      bach
    97  golf                                     T0                      golf
    97  Will                                     T0                      will
    97  Kafelnikov                               T1                      ka.fel.ni.kov
    95  Ahlberg                                  T1                      ahl.berg
    94  Lindell                                  T1                      lin.dell
    94  Kohl                                     T0                      kohl
    93  Rosberg                                  T1                      ros.berg
    93  Nyberg                                   T1                      ny.berg
    93  millennium                               T1                      mil.len.nium
    93  maailmancup                              T1 T6                   maa.il.man.cup
    92  Tel                                      T0                      tel
    91  Segerstam                                T1                      se.gers.tam
    90  Greg                                     T0                      greg
    90  Stig                                     T0                      stig
    90  Boström                                  T1                      bost.röm
    90  pop                                      T0                      pop
    89  South                                    T0                      south
    88  Liverpool                                T1                      li.ver.pool
    87  Hitchcock                                T1                      hitch.cock
    87  Franck                                   T0                      franck
    86  rom                                      T0                      rom
    86  Linux                                    T1                      li.nux
    85  Utah                                     T1                      u.tah
    85  Rosendahl                                T1                      ro.sen.dahl
    85  Sergejev                                 T1                      ser.ge.jev
    84  Nick                                     T0                      nick
    84  Telecom                                  T1                      te.le.com
    84  Interfax                                 T1                      in.ter.fax
    83  Forsberg                                 T1                      fors.berg
    83  Forsström                                T1                      forsst.röm
    82  Ingberg                                  T1                      ing.berg
    82  Kyrel                                    T1                      ky.rel
    81  Rolf                                     T0                      rolf
    81  Dick                                     T0                      dick
    81  El                                       T0                      el
    80  Duisenberg                               T1                      dui.sen.berg
    80  Back                                     T0                      back
    79  Jeff                                     T0                      jeff
    79  Pittsburgh                               T1                      pitts.burgh
    78  doping                                   T1                      do.ping
    77  Wilhelm                                  T1                      wil.helm
    77  Suom                                     T0                      suom
    77  Smirnov                                  T1                      smir.nov
    76  Holmberg                                 T1                      holm.berg
    76  Axel                                     T1                      a.xel
    76  Merrill                                  T1                      mer.rill
    76  Hall                                     T0                      hall
    75  Craig                                    T0                      craig
    75  Benecol                                  T1                      be.ne.col
    75  Ariel                                    T1 T8                   a.ri.el
    74  Vlasak                                   T1                      vla.sak
    74  Soul                                     T0                      soul
    73  Lundell                                  T1                      lun.dell
    72  Draskovic                                T1                      dras.ko.vic
    72  Sävel                                    T1                      sä.vel
    72  sävel                                    T1                      sä.vel
    71  Fidel                                    T1                      fi.del
    71  Sundström                                T1                      sundst.röm
    71  Felix                                    T1                      fe.lix
    70  Söderström                               T1                      sö.derst.röm
    69  Boxberg                                  T1                      box.berg
    69  Popovitsh                                T1                      po.po.vitsh
    69  Munch                                    T0                      munch
    69  Russell                                  T1                      rus.sell
    69  Angel                                    T1                      an.gel
    68  Titanic                                  T1                      ti.ta.nic
    68  Gustaf                                   T1                      gus.taf
    68  Deep                                     T0                      deep
    68  Fox                                      T0                      fox
    67  Kreml                                    T0                      kreml
    67  Gorbatshov                               T1                      gor.bats.hov
    66  Wang                                     T0                      wang
    66  Ruth                                     T0                      ruth
    66  Jitzhak                                  T1                      jitz.hak
    66  Bergström                                T1                      bergst.röm
    66  Dream                                    T2                      dre.am
    65  Sarah                                    T1                      sa.rah
    65  Vollebäk                                 T1                      vol.le.bäk
    65  Pulp                                     T0                      pulp
    64  Lynch                                    T0                      lynch
    64  Wennström                                T1                      wennst.röm
    64  Nasdaq                                   T1                      nas.daq
    63  Grönvall                                 T1                      grön.vall
    62  Luxemburg                                T1                      lu.xem.burg
    62  Mitchell                                 T1                      mitc.hell
    62  Max                                      T0                      max
    61  Mick                                     T0                      mick
    60  Asklöf                                   T1                      ask.löf
    60  Seth                                     T0                      seth
    59  Swanljung                                T1                      swanl.jung
    59  Erich                                    T1                      e.rich
    59  National                                 T1 T2                   na.ti.o.nal
    59  Miguel                                   T1 T2                   mi.gu.el
    59  Vikström                                 T1                      vikst.röm
    59  Hagström                                 T1                      hagst.röm
    58  Classic                                  T1                      clas.sic
    58  Strasbourg                               T1 T4                   stras.bo.urg
    58  Millennium                               T1                      mil.len.nium
    57  Sandberg                                 T1                      sand.berg
    57  Tamrock                                  T1                      tam.rock
    57  Sandvik                                  T1                      sand.vik
    57  Pascal                                   T1                      pas.cal
    57  Tanssi-Frenckell                         T1 | T1                 tans.si-frenc.kell
    56  Unicef                                   T1                      u.ni.cef
    56  Witch                                    T0                      witch
    56  Hasek                                    T1                      ha.sek
    56  Campbell                                 T1                      camp.bell
    56  Groop                                    T0                      groop
    55  Raul                                     T0                      raul
    55  Popov                                    T1                      po.pov
    54  Marshall                                 T1                      mars.hall
    54  Slam                                     T0                      slam
    53  Racing                                   T1                      ra.cing
    53  Hannah                                   T1                      han.nah
    52  High                                     T0                      high
    52  Ackeström                                T1                      ac.kest.röm
    52  Ajax                                     T1                      a.jax
    51  Farc                                     T0                      farc
    51  Gong                                     T0                      gong
    51  Roth                                     T0                      roth
    51  Hardwick                                 T1                      hard.wick
    51  Per-Erik                                 T0 | T1                 per-e.rik
    51  Nigel                                    T1                      ni.gel
    51  Löfström                                 T1                      löfst.röm
    51  Palm                                     T0                      palm
    51  From                                     T0                      from
    51  Asterix                                  T1                      as.te.rix
    51  Matrix                                   T1                      mat.rix
    50  Derek                                    T1                      de.rek
    50  Canal                                    T1                      ca.nal
    50  Hull                                     T0                      hull
    50  Bäckström                                T1                      bäckst.röm
    49  Electric                                 T1                      e.lect.ric
    49  Baltic                                   T1                      bal.tic
    49  All                                      T0                      all
    49  Holmström                                T1                      holmst.röm
    49  Amsterdam                                T1                      ams.ter.dam
    49  Skuratov                                 T1                      sku.ra.tov
    48  Granholm                                 T1                      gran.holm
    48  Hjelm                                    T0                      hjelm
    48  Wayup                                    T7                      way.up
    47  Wallenberg                               T1                      wal.len.berg
    47  Ralph                                    T0                      ralph
    47  Dvorak                                   T1                      dvo.rak
    47  Bertel                                   T1                      ber.tel
    46  Mollberg                                 T1                      moll.berg
    46  Strömberg                                T1                      ström.berg
    46  Lundahl                                  T1                      lun.dahl
    46  Mashadov                                 T1                      mas.ha.dov
    45  Carl-Olaf                                T0 | T1                 carl-o.laf
    45  Skogberg                                 T1                      skog.berg
    45  Järj                                     T0                      järj
    45  Hawk                                     T0                      hawk
    45  Hotel                                    T1                      ho.tel
    45  team                                     T2                      te.am
    45  Beckham                                  T1                      beck.ham
    45  Pop                                      T0                      pop
    44  Rob                                      T0                      rob
    44  Ullrich                                  T1                      ull.rich
    44  Woodstock                                T1                      woods.tock
    44  Ateneum                                  T1                      a.te.neum
    44  ym                                       T0                      ym
    44  Kasparov                                 T1                      kas.pa.rov
    43  Haug                                     T0                      haug
    43  Eiffel                                   T1                      eif.fel
    43  Tottenham                                T1                      tot.ten.ham
    42  Wolf                                     T0                      wolf
    42  Moberg                                   T1                      mo.berg
    42  Zitting                                  T1                      zit.ting
    42  Havel                                    T1                      ha.vel
    42  Dahl                                     T0                      dahl
    42  Fagerholm                                T1                      fa.ger.holm
    42  Ham                                      T0                      ham
    42  Vjatsheslav                              T1                      vjats.hes.lav
    41  Frederic                                 T1                      fre.de.ric
    41  Milonoff                                 T1                      mi.lo.noff
    41  Lundberg                                 T1                      lund.berg
    41  Singh                                    T0                      singh
    41  Patch                                    T0                      patch
    41  Ismail                                   T1                      is.mail
    41  Universal                                T1                      u.ni.ver.sal
    41  diesel                                   T1                      die.sel
    41  Jarl                                     T0                      jarl
    41  Poul                                     T0                      poul
    41  Box                                      T0                      box
    40  Trek                                     T0                      trek
    40  Spiegel                                  T1                      spie.gel
    40  Journal                                  T1                      jour.nal
    40  soul                                     T0                      soul
    40  Viljam                                   T1                      vil.jam
